Level,Hierarchy,NOC_Code,Class_Title,Class_Definition,Additional information,All examples,Employment requirements,Exclusion(s),Illustrative example(s),Inclusion(s),Main duties
5,Unit Group,12202,Insurance underwriters,"Insurance underwriters review and evaluate insurance applications to determine insurance risks, insurance premiums and extent of insurance coverage according to company policies. They are employed at head and branch offices of insurance companies.","Progression to management positions in the insurance industry is possible with experience.  | Completion of educational programs through the Insurance Institute of Canada or its provincial counterparts entitles insurance underwriters to professional recognition as a Chartered Insurance Professional (CIP) and, with additional university courses, as a Fellow, Chartered Insurance Professional (FCIP). ",accident and sickness underwriter - insurance  | assistant underwriter - insurance  | automobile and home insurance consultant  | automobile underwriter - insurance  | boiler and machinery underwriter - insurance  | casualty insurance products analyst-designer  | casualty underwriter - insurance  | commercial underwriter - insurance  | farm underwriter - insurance  | fire underwriter - insurance  | group underwriter  | group underwriter - insurance  | head office underwriter - insurance  | home office underwriter - insurance  | insurance rating analyst  | insurance underwriter  | junior underwriter - insurance  | liability underwriter  | life underwriter  | marine and aircraft underwriter - insurance  | marine underwriter - insurance  | package underwriter - insurance  | personal lines underwriter  | property underwriter  | property underwriter - insurance  | public liability underwriter - insurance  | reinsurance underwriter - insurance  | senior underwriter - insurance  | surety underwriter - insurance  | underwriter - insurance,"Completion of secondary school and some general insurance experience  or A bachelor's degree, college diploma or some post-secondary education is required.  | Several years of on-the-job training and completion of insurance industry underwriting courses and training programs are required. ","Insurance agents and brokers  (See 63100 Insurance agents and brokers) | Insurance manager  (See 10020 Insurance, real estate and financial brokerage managers)",group underwriter  | insurance underwriter  | liability underwriter  | property underwriter,casualty insurance products analyst-designer  | insurance rating analyst,"This group performs some or all of the following duties:  | Review individual and group applications for automobile, fire, health, liability, life, property, marine, aircraft and other insurance  | Evaluate new and renewal applications to determine insurance risks, insurance premiums, extent of insurance coverage and other conditions of the insurance contract using medical reports, rate tables and other documents and reference materials; adjust premiums, coverage or risk itself to make acceptance of new and renewal applications possible  | Approve sale of insurance policies and ensure compliance with government regulations  | Provide recommendations on individual or group insurance plan designs  | Provide underwriting advice and answer inquiries from clients and from insurance agents, consultants and other company personnel  | Prepare underwriting reports and update insurance forms when necessary. "
5,Unit Group,12203,"Assessors, business valuators and appraisers","Assessors and appraisers determine the value of land, businesses, estates and other real property, for purposes of sale, purchase, taxation or disposal of assets. Appraisers also determine the value of personal and household items. Business valuators quantify the value of a business, its securities or its intangible assets. Assessors, business valuators and appraisers are employed by government agencies, real estate firms and other private companies, or they may be self-employed.","Progression to management positions in each field is possible with experience.  | Assessors may specialize in advising and consulting in a specific field of assessment such as residential, commercial, industrial, institutional or farm lands.  | Appraisers may specialize in a specific type of appraisal such as real estate appraisal. ",accredited appraiser  | appraisal technician  | appraiser (except customs)  | assessor (except tax)  | assistant appraiser  | automobile appraiser  | building appraiser  | business appraiser  | business valuation officer  | business valuator  | Canadian residential appraiser (CRA)  | chartered appraiser  | chartered business valuator (CBV)  | fishing vessels appraiser  | furniture appraiser  | insurance appraiser  | municipal assessor  | property appraiser  | property assessor  | property valuator  | real estate analyst  | real estate appraisal technician  | real estate appraiser  | real estate assessor  | valuation consultant  | valuator-appraiser,"Assessors require a college diploma in municipal assessment  and accreditation with the municipal assessment association of the province.  | Business valuators usually require a bachelor's degree or college diploma in accounting, business or commerce  and accreditation with the Canadian Institute of Chartered Business Valuators based on successful completion of its business and security valuation program.  | Appraisers require a college diploma or vocational training in the field of appraisal  or several years of experience in a position related to the field of appraisal.  | In Quebec, membership with l'Ordre des évaluateurs agréés du Québec (OEAQ) is required to use the title chartered appraiser.  | Real estate appraisers usually require several years of experience as a real estate agent, right-of-way agent or property administrator and may require Canadian residential appraiser certification.  | Appraisers of residential, commercial or industrial property require accreditation with the Appraisal Institute of Canada. ","Financial and investment analysts  (See 11101 Financial and investment analysts) | Financial auditors and accountants  (See 11100 Financial auditors and accountants) | Insurance adjusters and claims examiners  (See 12201 Insurance adjusters and claims examiners) | Jewellery appraiser  (See 62202 Jewellers, jewellery and watch repairers and related occupations) | Land agent  (See 12102 Procurement and purchasing agents and officers) | Market analyst - non-financial  (See 41402 Business development officers and market researchers and analysts) | Property administrators  (See 13101 Property administrators) | Right-of-way agent  (See 12102 Procurement and purchasing agents and officers)",accredited appraiser  | business valuator  | chartered business valuator (CBV)  | property assessor  | property valuator  | real estate appraiser,real estate analyst,"This group performs some or all of the following duties:  | Assessors  | Assess value of land, building, structures, machinery, equipment and property improvements for purposes of taxation, grants and regional planning and prior to sale or purchase  | Review and analyze data such as past sales, title searches, engineering and alignment maps, soil maps, subdivision plans, water and sewer plans, leasing cost data and easements  | Explain assessment process to ratepayers  | May specialize in advising and consulting in a specific field of assessment such as residential, commercial, industrial, institutional or farm lands.  | Business valuators  | Collect and analyze financial records of a business, such as financial statements, budgets, projections and sales data, to assess its competitiveness or to estimate its market value  | Prepare reports for estate planning, matrimonial litigation, insurance and business losses  | Appear as an expert witness before courts, security regulators and other regulatory boards and commissions.  | Appraisers  | Appraise value of property, building, industrial and commercial machinery and equipment and personal and household items  | Prepare appraisal reports for lending agencies, insurance companies, government departments, courts, attorneys, creditors, buyers or auctioneers. "
5,Unit Group,13100,Administrative officers,"Administrative officers oversee and implement administrative procedures, establish work priorities, conduct analyses of administrative operations and coordinate acquisition of administrative services such as office space, supplies and security services. They are employed throughout the public and private sectors. Administrative officers who are supervisors are included in this unit group.",Progression to administrative service management positions is possible with experience.,"access to information and privacy officer  | access to information officer  | administration analyst  | administration officer  | administration services coordinator  | administrative analyst  | administrative coordinator  | administrative officer  | administrative planning officer  | administrative services coordinator  | administrative services officer  | administrative support officer  | administrative technician  | admissions officer - post-secondary educational institution  | band administrator  | bilingual services coordinator  | budget analyst  | business representative - club, lodge or society  | business services officer  | chief invigilator  | civil emergency measures officer  | claims officer  | communications service coordinator  | Crown assets distribution officer  | documentation and projects analyst  | exam invigilator - post-secondary institution  | exam proctor - post-secondary institution  | exam supervisor - post-secondary institution  | financial aid officer  | financial assistance coordinator - college or university  | financial assistance officer  | forms management officer  | freedom of information officer  | immigrant investors program coordinator  | implementation officer  | lease administration supervisor  | liaison officer  | management planning officer  | Native band administrator  | Native reserve administrator  | non-technical project manager  | office administrator  | office automation administrator  | office automation coordinator  | office automation technician  | office coordinator  | office manager  | office services coordinator  | official languages coordinator  | ombudsman officer  | operating officer - administration  | operational officer - administration  | operations officer - administration  | organization and productivity project manager  | organization and productivity project officer  | parking coordinator  | planning officer  | preliminary press planner  | prepress planner - publishing  | privacy officer  | project administration officer  | public trustee  | records analyst - access to information  | regional services chief  | relocation commissioner  | reserve administrator  | student aid officer  | student assistance officer  | surplus assets officer  | technical assistant - office support  | test administrator  | testing coordinator  | testing supervisor  | university admissions officer ",Completion of secondary school is required.  | A university degree or college diploma in business or public administration may be required.  | Experience in a senior clerical or executive secretarial position related to office administration is usually required.  | Project management certification may be required by some employers.,Administrative services manager  (See 10019 Other administrative services managers) | Conference and event planners  (See 12103 Conference and event planners) | Executive assistants  (See 12100 Executive assistants) | Property administrators  (See 13101 Property administrators),access to information and privacy officer  | administrative officer  | administrative services coordinator  | forms management officer  | office administrator  | office manager  | office services coordinator  | planning officer  | records analyst - access to information  | surplus assets officer  | university admissions officer,communications service coordinator  | exam invigilator - post-secondary institution  | exam supervisor - post-secondary institution  | implementation officer  | liaison officer  | public trustee  | regional services chief  | relocation commissioner,"This group performs some or all of the following duties:  | Oversee and coordinate office administrative procedures and review, evaluate and implement new procedures  | Establish work priorities, delegate work to office support staff, and ensure deadlines are met and procedures are followed  | Carry out administrative activities associated with admissions to post-secondary educational institutions  | Administer policies and procedures related to the release of records in processing requests under government access to information and privacy legislation  | Coordinate and plan for office services, such as accommodation, relocations, equipment, supplies, forms, disposal of assets, parking, maintenance and security services  | Conduct analyses and oversee administrative operations related to budgeting, contracting and project planning and management processes  | Assist in preparation of operating budget and maintain inventory and budgetary controls  | Assemble data and prepare periodic and special reports, manuals and correspondence  | May supervise records management technicians and related staff. "
5,Unit Group,13101,Property administrators,"Property administrators perform administrative duties and coordinate activities related to the management and rental of investment property and real estate on behalf of property and strata property owners. They are employed by property, real estate and strata services management companies, property development companies and by government.",,accommodation coordinator  | accommodation officer  | accommodation planning officer  | apartment rental agent  | building managing supervisor  | chief of property management  | commercial building rental agent  | commercial property manager  | housing development officer  | housing project manager  | landlord/landlady  | leasing and development officer - public works  | property acquisitions area manager  | property administrator  | property leasing coordinator  | property management agent  | property management officer  | property management operations coordinator  | property rental agent  | property rental coordinator  | property rentals manager  | property section head  | real estate rental agent  | rentals agent  | residential property manager  | strata property manager,"Completion of secondary school is required in all provinces and territories except for British Columbia.  | A language proficiency index is required in British Columbia.  | Property administrators must be a minimum of nineteen years of age in British Columbia.  | Completion of training courses or a vocational program in property or strata management or real estate may be required.  | Several years of administrative experience as a property clerk, contract clerk, or administrative officer are usually required.  | Strata property managers must hold a licence in British Columbia. ",Building superintendent  (See 73201 General building maintenance workers and building superintendents) | Facility operation and maintenance managers  (See 70012 Facility operation and maintenance managers) | Real estate agents and salespersons  (See 63101 Real estate agents and salespersons),accommodation officer  | apartment rental agent  | housing project manager  | property administrator  | property leasing coordinator  | property rentals manager,landlord/landlady,"This group performs some or all of the following duties:  | Negotiate or approve rental or lease of various properties in a portfolio on behalf of property owners and ensure that terms of lease agreement are met  | Prepare and administer contracts for provision of property services, such as cleaning and maintenance, security services and alarm systems  | Coordinate the implementation of repairs, maintenance and renovations carried out on buildings and monitor progress and cost of work for property owners  | Compile and maintain records on operating expenses and income, prepare reports and review rents to ensure they are at market value  | Ensure that trouble calls received from clients or tenants are acted upon  | Administer damage deposits  | May hire and supervise rental agents, property clerks, building superintendents or other support staff performing operational, clerical or maintenance duties. "
5,Unit Group,13102,Payroll administrators,"Payroll administrators collect, verify and process payroll information, determine pay and benefit entitlements for employees, maintain accurate payroll records, and provide payroll information within a department, company or other establishment. They are employed by payroll administration companies and by establishments throughout the public and private sectors.",Progression to supervisory positions is possible with experience.,account records clerk - payroll  | assistant paymaster  | benefits and pension plan officer  | benefits officer - payroll administration  | pay accounts clerk  | pay advisor  | pay and benefits administrator  | pay and benefits clerk  | pay clerk  | pay verifier  | payroll administrator  | payroll clerk  | payroll machine operator  | payroll officer  | payroll technician  | salary administration officer  | superannuation clerk - government  | timekeeper - payroll,"Completion of secondary school is usually required.  | Completion of college or other courses in accounting, bookkeeping or payroll administration or Experience in payroll administration is usually required.  | Payroll association certification may be required.  | Experience using a payroll system or software may be required. ","Benefits officer - government services  (See 12104 Employment insurance and revenue officers) | Human resources and recruitment officers  (See 12101 Human resources and recruitment officers) | Payroll clerk supervisor  (See 12011 Supervisors, finance and insurance office workers) | Personnel clerks  (See 14102 Personnel clerks)",benefits officer - payroll administration  | pay advisor  | pay and benefits administrator  | pay and benefits clerk  | pay clerk  | payroll clerk  | payroll officer  | salary administration officer,,"This group performs some or all of the following duties:  | Maintain and update employee information, such as records of employee attendance, leave and overtime to calculate pay and benefit entitlements, in Canadian and other currencies, using manual or computerized systems  | Prepare and verify statements of earnings for employees, indicating gross and net salaries and deductions such as taxes, union dues, garnishments and insurance and pension plans  | Prepare, verify and process all employee payroll related payments, including regular pay, benefit payments, and special payments such as bonuses and vacation pay  | Complete, verify and process forms and documentation for administration of benefits such as pension plans, leaves, share savings, employment and medical insurance  | Prepare payroll related filings and supporting documentation, such as year-end tax statements, pension, Records of Employment and other statements  | Provide information on payroll matters, benefit plans and collective agreement provisions  | Compile, review, and monitor statistical reports, statements, and summaries related to pay and benefits accounts  | Prepare and balance period-end reports and reconcile issued payrolls to bank statements  | Identify and resolve payroll discrepancies  | May be responsible for the development and/or implementation of payroll policies, procedures or processes "
5,Unit Group,13110,Administrative assistants,Administrative assistants perform a variety of administrative duties in support of managerial and professional employers. They are employed throughout the public and private sectors.,,administrative assistant  | administrative assistant - office  | administrative secretary  | appointment secretary  | church secretary  | contracts secretary  | executive secretary (except legal and medical)  | finance secretary  | human resources administrator  | human resources administrator - Canadian Armed Forces  | human resources secretary  | loans and grants administrative assistant  | office administrative assistant  | personal secretary  | private secretary  | recording secretary  | sales secretary  | school secretary  | secretary (except legal and medical)  | secretary-clerk  | taxation service secretary  | technical secretary,Completion of secondary school is usually required.  | Completion of a one- or two-year college or other program for administrative assistants or secretaries  or Previous clerical experience is required.,"Court reporters, medical transcriptionists and related occupations  (See 12110 Court reporters, medical transcriptionists and related occupations) | Executive assistants  (See 12100 Executive assistants) | Legal administrative assistants  (See 13111 Legal administrative assistants) | Medical administrative assistants  (See 13112 Medical administrative assistants) | Office manager  (See 13100 Administrative officers)",administrative assistant  | executive secretary (except legal and medical)  | office administrative assistant  | private secretary  | secretary (except legal and medical)  | technical secretary,secretary-clerk,"This group performs some or all of the following duties:  | Prepare, key in, edit and proofread correspondence, invoices, presentations, brochures, publications, reports and related material from machine dictation and handwritten copy  | Open and distribute incoming regular and electronic mail and other material and coordinate the flow of information internally and with other departments and organizations  | Schedule and confirm appointments and meetings of employer  | Order office supplies and maintain inventory  | Answer telephone and electronic enquiries and relay telephone calls and messages  | Set up and maintain manual and computerized information filing systems  | Determine and establish office procedures  | Greet visitors, ascertain nature of business and direct visitors to employer or appropriate person  | Record and prepare minutes of meetings  | Arrange travel schedules and make reservations  | May compile data, statistics and other information to support research activities  | May supervise and train office staff in procedures and in use of current software  | May organize conferences. "
5,Unit Group,13111,Legal administrative assistants,"Legal administrative assistants perform a variety of secretarial and administrative duties in law offices, legal departments of large firms, real estate companies, land title offices, municipal, provincial and federal courts and government.",,administrative assistant - judicial  | administrative assistant - legal  | collection legal assistant  | commercial law administrative assistant  | commercial law legal assistant  | commercial law secretary  | corporate finance legal assistant  | corporate law administrative assistant  | corporate law legal assistant  | corporate law secretary  | corporate records legal assistant  | estate administrative assistant  | estate secretary  | family law legal assistant  | foreclosures legal assistant  | insurance legal assistant  | judicial assistant  | labour law legal assistant  | legal administrative assistant  | legal assistant  | legal assistant - criminal law  | legal secretary  | legal stenographer  | litigation administrative assistant  | litigation legal assistant  | litigation secretary  | mortgage and real estate legal assistant  | oil and gas rights legal assistant  | real estate administrative assistant  | real estate secretary  | tax legal assistant  | trademark administrative assistant  | trademark secretary  | wills and estates legal assistant,Completion of secondary school is usually required.  | Completion of a one- or two-year college or other program for secretaries or legal secretaries is usually required.,"By-law clerk  (See 14301 Correspondence, publication and regulatory clerks) | Court recorder  (See 12110 Court reporters, medical transcriptionists and related occupations) | Paralegal and related occupations  (See 42200 Paralegals and related occupations)",administrative assistant - legal  | corporate law legal assistant  | legal assistant  | legal assistant - criminal law  | legal secretary  | litigation legal assistant  | litigation secretary  | real estate secretary,,"This group performs some or all of the following duties:  | Prepare and key in correspondence and legal documents, such as deeds, wills, affidavits and briefs, from handwritten copy, shorthand and machine dictation using computers  | Review and proofread documents and correspondence to ensure compliance with legal procedures and grammatical usage  | Schedule appointments, meetings and conferences for employer  | Set up and maintain filing systems, utilizing knowledge of legal records and procedures and frequently controlling confidential materials and documents  | Open and distribute regular and electronic incoming mail and other material and coordinate the flow of information internally and with other departments or organizations  | Determine and establish office procedures and routines  | May supervise and train other staff in procedures and in the use of current software  | May attend court, meetings or conferences to take notes, minutes and dictation  | May perform other general office work as required including preparing financial statements. "
5,Unit Group,13112,Medical administrative assistants,"Medical administrative assistants perform a variety of secretarial and administrative duties in doctor's offices, hospitals, medical clinics and other medical settings.",,administrative assistant - medical  | case load planner - home health care services  | medical administrative assistant  | medical secretary  | medical stenographer  | ward secretary  | ward secretary - hospital,Completion of secondary school is usually required.  | Completion of a one- or two-year college program or other specialized courses for secretaries or medical secretaries is usually required.,"Health information management occupations  (See 12111 Health information management occupations) | Medical records clerk  (See 14100 General office support workers) | Medical transcriptionist  (See 12110 Court reporters, medical transcriptionists and related occupations)",administrative assistant - medical  | medical secretary  | ward secretary,,"This group performs some or all of the following duties:  | Schedule and confirm medical appointments and receive and communicate messages for medical staff and patients  | Enter and format electronically based medical reports and correspondence and prepare spreadsheets and documents for review  | Interview patients in order to complete forms, documents and case histories  | Complete insurance and other claim forms  | Initiate and maintain confidential medical files and records  | Prepare draft agendas for meetings and take, transcribe and distribute minutes  | Prepare financial statements and billing  | Establish and maintain various internal office administrative support procedures such as document tracking and filing and monthly reporting  | Order supplies and maintain inventory  | Determine and establish office procedures and routines  | May supervise and train other staff in procedures and in use of current software. "
5,Unit Group,13200,"Customs, ship and other brokers","Customs brokers clear goods through customs and to their destination on behalf of importer and exporter clients. Shipbrokers buy and sell cargo space on ships and buy and sell ships, yachts and other watercraft on behalf of clients. This unit group also includes other brokers who negotiate commercial transactions, logistics or other services, not elsewhere classified, between parties on behalf of clients. They are employed by customs, ship or other brokerage establishments or may be self-employed.",There is no mobility between the different types of brokers in this unit group.,cargo broker  | chartered shipbroker  | customs broker  | customs clearance agent  | customs consultant  | customs house broker  | customs information broker  | customs rater  | designated shipbroker  | gas broker  | licensed customs broker  | oil lease broker  | qualified customs broker  | royalty broker  | ship agent  | ship line agent  | shipbroker  | supply chain specialist - customs brokerage  | yacht broker,"Completion of secondary school, and some post-secondary education in commerce or a related field is required.  | Customs brokers require several years of on-the-job training and completion of a customs brokers training program through the International Federation of Customs Brokers Association.  | A customs broker licence, issued by the Canada Border Services Agency, is required for an individual or company to operate a customs brokerage business.  | Shipbrokers selling cargo space on ships usually require several years of on-the-job training or related experience such as shipping company scheduling experience. Shipbrokers selling watercraft usually require in-depth experience with, and knowledge of, various watercraft.  | Correspondence courses from the Institute of Chartered Shipbrokers are available for shipbrokers. ","Insurance broker  (See 63100 Insurance agents and brokers) | Insurance, real estate and financial brokerage managers  (See 10020 Insurance, real estate and financial brokerage managers) | Securities agents, investment dealers and brokers  (See 11103 Securities agents, investment dealers and brokers)",cargo broker  | chartered shipbroker  | customs broker  | gas broker  | licensed customs broker  | shipbroker,ship line agent,"This group performs some or all of the following duties:  | Customs brokers  | Prepare and process import/export documents and other forms on behalf of clients according to customs regulations, laws and procedures  | Sign import/export documents on behalf of client, using power of attorney  | Arrange for payment of duties, taxes, storage and transportation of imported goods and bonds to cover duty goods  | Quote duty and tax rates on commodities for clients  | Provide advice to clients on export and import restrictions, tariff systems, letters of credit, insurance requirements and other custom related matters  | May represent client before administrative tribunals or in other dealings with government officials.  | Shipbrokers  | Buy and sell cargo space on ships on behalf of individuals, companies and governments  | Consult trade publications and other sources to provide information to clients on available cargo space, destinations, rates and departure locations and times, and arrange ship charters for clients  | Negotiate rates and terms and prepare contracts and other papers  | Buy and sell ships, yachts and other watercraft on behalf of clients  | Inspect vessels, explain features and negotiate price when purchasing or selling for clients  | Arrange for insurance coverage for cargo or for ships  | Arrange for registration and licensing of ships. "
5,Unit Group,13201,Production and transportation logistics coordinators,"Production logistics coordinators coordinate and expedite the flow of work within an establishment, prepare work and production schedules and monitor the progress of production and construction projects. Transportation logistics coordinators coordinate and monitor the movement of products and ensure that products are shipped and received on schedule. They are employed by manufacturing and construction companies and other industrial establishments.",Progression to supervisory positions is possible with experience.,construction schedule coordinator  | dispatch logistician  | distribution and transport logistics technician  | freight forwarding logistician  | freight forwarding technician  | freight traffic coordinator  | logistician  | logistics analyst  | logistics coordinator  | logistics inbound/outbound coordinator - production  | logistics lead  | logistics planner  | logistics specialist  | material control coordinator  | material coordinator  | motor vehicle repair shop coordinator  | ocean freight coordinator  | ocean freight technician  | production controller  | production coordinator  | production expediter  | production scheduler  | purchasing and inventory management coordinator  | shipping coordinator  | supply chain coordinator - production  | supply control coordinator  | transport logistician  | transport logistics technician  | transportation coordinator  | transportation logistics coordinator  | transportation planning coordinator,"Completion of a post-secondary education program of less than two years in Business or Supply Chain Management or extensive experience as a dispatcher, production clerk or scheduling clerk is usually required. ","Production logistics workers  (See 14402 Production logistics workers) | Purchasing and inventory control workers  (See 14403 Purchasing and inventory control workers) | Shippers and receivers  (See 14400 Shippers and receivers) | Storekeepers and partspersons  (See 14401 Storekeepers and partspersons) | Supervisors, supply chain, tracking and scheduling coordination occupations  (See 12013 Supervisors, supply chain, tracking and scheduling coordination occupations)",dispatch logistician  | freight forwarding logistician  | production coordinator  | production scheduler  | supply chain coordinator - production  | supply control coordinator,,"This group performs some or all of the following duties:  | Production logistics coordinators  | Plan, organize and oversee operational logistics of supply-chain work units or departments  | Consult with production supervisor to schedule production runs in a cost and time-efficient manner  | Communicate regularly with other production coordinators, warehouse, production and construction supervisors and purchasing and inventory clerks to coordinate activities between warehouses, production floors, construction sites or other supply chain work units or departments  | Maintains inventory of materials and parts needed to complete production  | Prepare and maintain various reports on the progress of work, materials used, rates of production and other production information, using manual or computerized systems.  | Transportation logistics coordinators  | Coordinate and monitor logistics of the movement of parts, supplies and materials within an establishment and ensure that supplies, materials and products are shipped and received on schedule  | Prepare and process all customs documents for International & U.S. shipments. "
5,Unit Group,14100,General office support workers,"General office support workers prepare correspondence, reports, statements and other material, operate office equipment, answer telephones, verify, record and process forms and documents such as contracts and requisitions and perform general clerical duties according to established procedures. They are employed in offices throughout the public and private sectors.",Progression to supervisory or office management positions is possible with experience.  | Progression to officer level positions is possible with additional training and experience.,address forms clerk  | administrative clerk - Canadian Armed Forces  | administrative clerk  | aircraft records clerk  | auction clerk  | bill sorter  | broadcast clerk  | bus terminal clerk  | Canadian Police Information Centre (CPIC) operator  | card filer  | classification clerk  | clerical assistant  | clerk-stenographer  | correspondence filing clerk  | course coordinator  | credit card authorization clerk  | criminal records clerk  | dietetics office clerk - hospital  | documents clerk  | drawings filing clerk  | file and classification clerk  | file clerk  | filing clerk  | film filing clerk  | float clerk  | general office clerk  | general office worker  | grain quotations board marker  | health information clerk  | health records clerk  | hospital records clerk  | information and records clerk  | junior office clerk  | mail order clerk  | mail order filler  | map clerk  | medical records clerk  | meter records clerk  | municipal office clerk  | office administration clerk  | office assistant  | office clerk  | office machine operator  | order transcriber  | personnel scheduling clerk  | plate filing clerk  | police station clerk  | program and service delivery clerk - government services  | records classification clerk  | records clerk  | records filing-system clerk  | records management clerk  | records support clerk  | relief clerk  | road clerk  | road maintenance clerk  | subscription clerk  | technical records clerk  | ticket preparer - manufacturing  | typist  | unit clerk  | utilities clerk  | utility clerk  | ward clerk - hospital  | warranty clerk  | word processor clerk,Completion of secondary school is usually required.  | Completion of secondary school or college business or commercial courses is usually required.,"Accounting and related clerks  (See 14200 Accounting and related clerks) | Administrative assistants  (See 13110 Administrative assistants) | Administrative officers  (See 13100 Administrative officers) | Court clerks and related court services occupations  (See 14103 Court clerks and related court services occupations) | Data entry clerks  (See 14111 Data entry clerks) | Personnel clerks  (See 14102 Personnel clerks) | Receptionists  (See 14101 Receptionists) | Records management technicians  (See 12112 Records management technicians) | Supervisors, general office and administrative support workers  (See 12010 Supervisors, general office and administrative support workers)",administrative clerk  | aircraft records clerk  | file and classification clerk  | filing clerk  | general office worker  | medical records clerk  | office assistant  | office clerk  | records filing-system clerk  | technical records clerk  | ward clerk - hospital  | warranty clerk,course coordinator,"This group performs some or all of the following duties:  | General office support workers  | Respond to telephone, in person or electronic enquiries or forward to appropriate person  | Prepare correspondence, reports, statements, forms, presentations, applications and other documents  | Process incoming and outgoing mail, manually or electronically  | Photocopy and collate documents for distribution, mailing and filing  | Send and receive messages and documents using fax machine or electronic mail  | Maintain inventory of office supplies, order supplies as required and arrange for servicing of office equipment  | Assist in preparing meeting agendas, attend meetings, and record minutes  | Assist with administrative procedures such as budget submissions, contracts administration and work schedules  | May sort, process and verify receipts, expenditures, forms and other documents  | May organize the flow of work for other office support workers  | May perform basic bookkeeping tasks such as preparing invoices and bank deposits.  | File clerks  | Scan, sort and file documents according to established guidelines  | Locate, retrieve, or make copies of documents from files as requested and maintain records of filed and removed materials  | Track documents removed from files to ensure that loan out documents are returned. "
5,Unit Group,14101,Receptionists,"Receptionists greet people arriving at offices, hospitals and other establishments, direct visitors to appropriate person or service, answer and forward telephone calls, take messages, schedule appointments and perform other clerical duties. They are employed by hospitals, medical and dental offices and other offices throughout the public and private sectors. Telephone operators are included in this group.",Some receptionists are required to be bilingual or multilingual to perform their duties.  | Progression to supervisory positions is possible with experience.,admitting clerk  | answering service operator  | appointment clerk  | beauty salon receptionist  | booking clerk - hospital  | booking clerk - medical office  | business receptionist  | charge operator - telephone system  | chief telephone operator  | clerk switchboard operator  | collect call operator - telephone system  | dental hygiene coordinator  | dental office receptionist  | dental receptionist  | dental treatment coordinator  | doctor's office receptionist  | emergency admitting clerk  | front desk clerk (except hotel)  | guest service representative - spa  | hospital admissions clerk  | hospital admitting clerk  | hospital receptionist  | information desk clerk  | information officer - Elections Canada  | international exchange operator - telephone system  | long distance telephone operator  | mail and message distribution clerk  | medical clinic receptionist  | medical office assistant  | medical office secretary-receptionist  | medical receptionist  | office reception clerk  | office receptionist  | operator - telephone system  | reception clerk  | reception desk clerk (except hotel)  | receptionist  | receptionist-clerk  | receptionist-secretary  | receptionist-switchboard operator  | receptionist-telephone operator  | receptionist-typist  | service assistant - telephone system  | spa receptionist  | switchboard operator  | telephone answering service operator  | telephone clerk  | telephone operator  | telephone service analyst  | telephone service assistant  | telereceptionist  | toll operator  | voice communication system operator,Completion of secondary school is usually required.  | On-the-job training may be provided.,"911 dispatcher  (See 14404 Dispatchers) | Hotel front desk clerks  (See 64314 Hotel front desk clerks) | Other customer and information services representatives  (See 64409 Other customer and information services representatives) | Supervisors, general office and administrative support workers  (See 12010 Supervisors, general office and administrative support workers)",answering service operator  | appointment clerk  | business receptionist  | dental receptionist  | hospital admitting clerk  | medical receptionist  | office reception clerk  | receptionist  | switchboard operator  | telephone operator  | telephone service assistant  | telereceptionist  | toll operator,mail and message distribution clerk  | medical office assistant,"This group performs some or all of the following duties:  | Receptionists  | Greet people coming into offices and other establishments, direct them to the appropriate contacts or services, provide general information in person and by phone, and may perform clerical duties and maintain front desk security and security access lists  | Schedule appointments, using manual or computerized systems  | Record bookings, handle credit card checks, receive payment, issue receipts.  | Hospital admitting clerks  | Interview patients to obtain and process information required to provide hospital and medical services  | Greet patients, schedule appointments, using manual or computerized systems, receive and record payment for services, and direct patients to appropriate areas.  | Switchboard and answering service operators  | Operate a telephone system or switchboard to answer, screen and forward telephone calls, take messages and provide information as required, and may perform clerical duties  | Answer telephones and record and relay messages.  | Telephone operators  | Operate telephone systems to advance and complete customers' telephone calls such as long distance, pay telephone, mobile radio/telephone and person to person calls, arrange teleconferences, provide relay phone service to persons with disabilities, and may calculate and record billing information. "
